========================
RPA-AXK@PBE
------------------------
Ref.    Error (kcal/mol)
------------------------
1                  3.056
2                  3.606
3                  2.125
4                  7.933
5                  1.903
6                  2.070
7                  0.938
8                  0.694
9                  1.582
10                 6.601
11                -0.898
12                 0.029
13                 0.110
14                 0.191
15                 0.976
16                 0.285
17                -0.737
18                -1.285
19                 0.254
20                 1.043
21                 1.465
22                 0.757
23                 0.929
24                 0.241
25                 1.260
26                 1.462
27                 0.816
28                 2.377
29                 3.577
30                -0.815
31                -0.112
32                 2.739
33                 0.342
34                 0.162
35                 0.248
36                -1.115
37                 3.444
38                -1.907
39                -1.742
40                 0.049
41                 0.270
42                 0.301
43                 0.209
44                 0.141
45                 0.103
46                 1.547
47                -0.081
48                 0.069
49                 0.365
50                 0.599
51                 0.363
------------------------
MAE:               1.293
========================

========================
RPA-SOSEX@PBE
------------------------
Ref.    Error (kcal/mol)
------------------------
1                 -5.970
2                 -4.379
3                 -4.103
4                  0.375
5                 -5.003
6                 -1.139
7                 -2.264
8                 -4.787
9                 -3.972
10                 2.804
11                -4.547
12                -2.125
13                -1.677
14                -1.579
15                -1.302
16                -2.888
17                -1.490
18                -4.786
19                -2.239
20                -1.712
21                 0.590
22                -2.151
23                -2.332
24                -1.089
25                -0.124
26                -1.984
27                -1.909
28                 0.782
29                 1.649
30                -0.720
31                -1.930
32                 0.433
33                -0.399
34                -1.694
35                -1.349
36                -2.430
37                 2.047
38                -2.677
39                 0.121
40                -1.740
41                -0.003
42                -1.074
43                 0.246
44                -0.394
45                -0.180
46                 3.411
47                -0.098
48                 0.091
49                -0.287
50                 0.998
51                -0.275
------------------------
MAE:               1.850
========================

========================
dRPA@PBE
------------------------
Ref.    Error (kcal/mol)
------------------------
1                 10.308
2                 10.721
3                  6.269
4                 13.145
5                  5.072
6                  1.238
7                  4.457
8                  4.166
9                  4.232
10                 9.284
11                 0.580
12                 0.771
13                 0.725
14                 0.793
15                 1.818
16                 1.113
17                -1.520
18                 1.429
19                 0.551
20                 2.763
21                 1.452
22                 1.444
23                 2.019
24                 0.724
25                 1.976
26                 3.451
27                 2.015
28                 3.735
29                 4.529
30                -1.233
31                -0.319
32                 2.804
33                 0.972
34                -0.269
35                 1.557
36                -1.445
37                 3.937
38                -1.655
39                -1.352
40                -0.190
41                 0.569
42                 2.001
43                 0.332
44                 0.584
45                 0.303
46                 0.084
47                -0.068
48                 0.106
49                 1.055
50                 0.465
51                 1.048
------------------------
MAE:               2.444
========================

========================
C(HF)-RPA-AXK@PBE
------------------------
Ref.    Error (kcal/mol)
