Energies are given in kcal/mol
Distance is given in angstrom

Distance        RPA-AXK@PBE    RPA-SOSEX@PBE    dRPA@PBE    C(HF)-RPA-AXK@PBE    C(HF)-RPA-SOSEX@PBE    C(HF)-dRPA@PBE    FCI
1.852120          2.356431        2.324810      2.338726         2.325930             2.316047             2.291075     2.207075
1.905038          1.843470        1.816911      1.829618         1.816042             1.807687             1.787718     1.709754
1.957956          1.437970        1.415948      1.427253         1.413241             1.406259             1.390319     1.318059
2.010874          1.118360        1.100379      1.110176         1.095752             1.089983             1.077286     1.010406
2.063791          0.866895        0.852454      0.860760         0.846093             0.841382             0.831294     0.769477
2.116709          0.669430        0.658041      0.664951         0.650267             0.646467             0.638479     0.581409
2.169627          0.515030        0.506273      0.511876         0.497089             0.494065             0.487766     0.435122
2.222544          0.394831        0.388343      0.392724         0.377617             0.375247             0.370304     0.321782
2.301921          0.262879        0.259143      0.261946         0.246423             0.244836             0.241444     0.198566
2.381298          0.173058        0.171394      0.172937         0.157185             0.156181             0.153898     0.116066
2.460674          0.112760        0.112655      0.113166         0.097012             0.096434             0.094937     0.061653
2.540051          0.072570        0.073579      0.073296         0.056881             0.056607             0.055659     0.026459
2.619427          0.045960        0.047731      0.046874         0.030442             0.030377             0.029807     0.004336
2.645886          0.039286        0.041243      0.040238         0.023869             0.023857             0.023383    -0.000924
2.698804          0.028542        0.030798      0.029546         0.013312             0.013387             0.013071    -0.009030
2.778181          0.017517        0.020080      0.018553         0.002471             0.002634             0.002486    -0.016591
2.857557          0.010626        0.013342      0.011647        -0.004168            -0.003953            -0.003994    -0.020371
2.936934          0.006030        0.008746      0.007011        -0.008019            -0.007779            -0.007753    -0.021746
2.963393          0.004895        0.007589      0.005859        -0.008859            -0.008613            -0.008572    -0.021839
3.016310          0.003106        0.005733      0.004033        -0.010038            -0.009788            -0.009724    -0.021641
3.095687          0.001480        0.003983      0.002344        -0.010868            -0.010621            -0.010535    -0.020665
3.175063          0.000579        0.002927      0.001378        -0.010944            -0.010708            -0.010610    -0.019222
3.254440         -0.000191        0.001957      0.000548        -0.010567            -0.010345            -0.010244    -0.017571
3.333817         -0.000769        0.001165     -0.000085        -0.009927            -0.009722            -0.009620    -0.015872
3.413193         -0.000977        0.000762     -0.000348        -0.009152            -0.008964            -0.008862    -0.014218
3.492570         -0.001059        0.000497     -0.000482        -0.008322            -0.008152            -0.008053    -0.012668
3.651323         -0.001440       -0.000247     -0.000956        -0.006679            -0.006541            -0.006445    -0.009960
3.810076         -0.001569       -0.000673     -0.001166        -0.005229            -0.005119            -0.005034    -0.007796
3.968829         -0.001608       -0.000943     -0.001276        -0.004037            -0.003949            -0.003876    -0.006107
4.127583         -0.001635       -0.001152     -0.001362        -0.003103            -0.003032            -0.002970    -0.004803
4.445089         -0.001502       -0.001248     -0.001319        -0.001879            -0.001834            -0.001792    -0.003030
4.762595         -0.001337       -0.001206     -0.001213        -0.001244            -0.001214            -0.001188    -0.001967
5.291772         -0.001045       -0.000997     -0.000976        -0.000803            -0.000788            -0.000773    -0.001017
6.350127         -0.000674       -0.000664     -0.000646        -0.000568            -0.000558            -0.000563    -0.000328
